HGNC_symbol	gene_name	mito_process	gene_function	chr	obsolete_HGNC_symbol	HGNC_ID	HGNC_name	ENSG_ID	ENSG_name	NCBI_GeneID	NCBI_name
DHFR 	dihydrofolate reductase	Folate & Pterin Metabolism	Dihydrofolate reductase converts dihydrofolate into tetrahydrofolate, a methyl group shuttle required for the de novo synthesis of purines, thymidylic acid, and certain amino acids. While the functional dihydrofolate reductase gene has been mapped to chromosome 5, multiple intronless processed pseudogenes or dihydrofolate reductase-like genes have been identified on separate chromosomes. Dihydrofolate reductase deficiency has been linked to megaloblastic anemia. 	5	DYR, DHFRP1	HGNC:2861	DHFR 	ENSG00000228716 	DHFR 	1719	DHFR 
DHFR2	dihydrofolate reductase 2	Folate & Pterin Metabolism	similarity:Belongs to the dihydrofolate reductase familysimilarity:Contains 1 DHFR (dihydrofolate reductase) domain	3	DHFRL1, DHFRP4	HGNC:27309	DHFR2	ENSG00000178700	DHFR2	200895	DHFR2
FPGS	folylpolyglutamate synthase	Folate & Pterin Metabolism	Conversion of folates to polyglutamate derivatives. This allows tissues to concentrate folate at higher levels than in plasma	9		HGNC:3824	FPGS	ENSG00000136877	FPGS	2356	FPGS
MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	Folate & Pterin Metabolism	This gene encodes a protein that possesses three distinct enzymatic activities, 5,10-methylenetetrahydrofolate dehydrogenase, 5,10-methenyltetrahydrofolate cyclohydrolase and 10-formyltetrahydrofolate synthetase. Each of these activities catalyzes one of three sequential reactions in the interconversion of 1-carbon derivatives of tetrahydrofolate, which are substrates for methionine, thymidylate, and de novo purine syntheses. The trifunctional enzymatic activities are conferred by two major domains, an aminoterminal portion containing the dehydrogenase and cyclohydrolase activities and a larger synthetase domain. [provided by RefSeq, Jul 2008],	14	CIMAH, MTHFC, MTHFD	HGNC:7432	MTHFD1	ENSG00000100714	MTHFD1	4522	MTHFD1
MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	Folate & Pterin Metabolism	May provide the missing metabolic reaction required to link the mitochondria and the cytoplasm in the mammalian model of one-carbon folate metabolism in embryonic an transformed cells complementing thus the enzymatic activities of MTHFD2 (By similarity)	6	FTHFSDC1, MTC1THFS, dJ292B18.2	HGNC:21055	MTHFD1L	ENSG00000120254	MTHFD1L	25902	MTHFD1L
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	Folate & Pterin Metabolism	This gene encodes a nuclear-encoded mitochondrial bifunctional enzyme with methylenetetrahydrofolate dehydrogenase and methenyltetrahydrofolate cyclohydrolase activities. The enzyme functions as a homodimer and is unique in its absolute requirement for magnesium and inorganic phosphate. Formation of the enzyme-magnesium complex allows binding of NAD. Alternative splicing results in two different transcripts, one protein-coding and the other not protein-coding. This gene has a pseudogene on chromosome 7. [provided by RefSeq, Mar 2009],	2	NMDMC	HGNC:7434	MTHFD2	ENSG00000065911	MTHFD2	10797	MTHFD2
MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	Folate & Pterin Metabolism	"catalytic activity:5,10-methenyltetrahydrofolate + H(2)O = 10-formyltetrahydrofolatecatalytic activity:5,10-methylenetetrahydrofolate + NAD(+) = 5,10-methenyltetrahydrofolate + NADHcofactor:Magnesiumpathway:One-carbon metabolism; tetrahydrofolate pathwaysequence caution:Contaminating sequence. Sequence of unknown origin in the N-terminal partsimilarity:Belongs to the tetrahydrofolate dehydrogenase/cyclohydrolase family"	4		HGNC:31865	MTHFD2L	ENSG00000163738	MTHFD2L	441024	MTHFD2L
MTHFS	methenyltetrahydrofolate synthetase	Folate & Pterin Metabolism	The protein encoded by this gene is an enzyme that catalyzes the conversion of 5-formyltetrahydrofolate to 5,10-methenyltetrahydrofolate, a precursor of reduced folates involved in 1-carbon metabolism. An increased activity of the encoded protein can result in an increased folate turnover rate and folate depletion. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jun 2011],	15	HsT19268, NEDMEHM	HGNC:7437	MTHFS	ENSG00000136371	MTHFS	10588	MTHFS
PTS	6-pyruvoyltetrahydropterin synthase	Folate & Pterin Metabolism	Involved in the biosynthesis of tetrahydrobiopterin, an essential cofactor of aromatic amino acid hydroxylases. Catalyzes the transformation of 7,8-dihydroneopterin triphosphate into 6- pyruvoyl tetrahydropterin	11	PTPS	HGNC:9689	PTS	ENSG00000150787	PTS	5805	PTS
SHMT2	serine hydroxymethyltransferase 2	Folate & Pterin Metabolism	Interconversion of serine and glycine (By similarity)Interconversion of serine and glycine	12	GLYA, HEL-S-51e, SHMT	HGNC:10852	SHMT2	ENSG00000182199	SHMT2	6472	SHMT2
SLC25A32	solute carrier family 25 member 32	Folate & Pterin Metabolism	Transports folate across the inner membranes of mitochondria	8	MFT, MFTC, RREI	HGNC:29683	SLC25A32	ENSG00000164933	SLC25A32	81034	SLC25A32
AKR1B1	aldo-keto reductase family 1 member B	Fructose Metabolism	This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. This member catalyzes the reduction of a number of aldehydes, including the aldehyde form of glucose, and is thereby implicated in the development of diabetic complications by catalyzing the reduction of glucose to sorbitol. Multiple pseudogenes have been identified for this gene. The nomenclature system used by the HUGO Gene Nomenclature Committee to define human aldo-keto reductase family members is known to differ from that used by the Mouse Genome Informatics database. [provided by RefSeq, Feb 2009],	7	ADR, ALDR1, ALR2, AR	HGNC:381	AKR1B1	ENSG00000085662	AKR1B1	231	AKR1B1
ALDH1A1	aldehyde dehydrogenase 1 family member A1	Fructose Metabolism	The protein encoded by this gene belongs to the aldehyde dehydrogenase family. Aldehyde dehydrogenase is the next enzyme after alcohol dehydrogenase in the major pathway of alcohol metabolism. There are two major aldehyde dehydrogenase isozymes in the liver, cytosolic and mitochondrial, which are encoded by distinct genes, and can be distinguished by their electrophoretic mobility, kinetic properties, and subcellular localization. This gene encodes the cytosolic isozyme. Studies in mice show that through its role in retinol metabolism, this gene may also be involved in the regulation of the metabolic responses to high-fat diet. [provided by RefSeq, Mar 2011],	9	ALDC, ALDH-E1, ALDH1, ALDH11, HEL-9, HEL-S-53e, HEL12, PUMB1, RALDH1	HGNC:402	ALDH1A1	ENSG00000165092	ALDH1A1	216	ALDH1A1
ALDOB	aldolase, fructose-bisphosphate B	Fructose Metabolism	"Fructose-1,6-bisphosphate aldolase (EC 4.1.2.13) is a tetrameric glycolytic enzyme that catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate. Vertebrates have 3 aldolase isozymes which are distinguished by their electrophoretic and catalytic properties. Differences indicate that aldolases A, B, and C are distinct proteins, the products of a family of related &apos;housekeeping&apos; genes exhibiting developmentally regulated expression of the different isozymes. The developing embryo produces aldolase A, which is produced in even greater amounts in adult muscle where it can be as much as 5% of total cellular protein. In adult liver, kidney and intestine, aldolase A expression is repressed and aldolase B is produced. In brain and other nervous tissue, aldolase A and C are expressed about equally. There is a high degree of homology between aldolase A and C. Defects in ALDOB cause hereditary fructose intolerance. [provided by RefSeq, Dec 2008],"	9	ALDB, ALDO2	HGNC:417	ALDOB	ENSG00000136872	ALDOB	229	ALDOB
GLYCTK	glycerate kinase	Fructose Metabolism	This locus encodes a member of the glycerate kinase type-2 family. The encoded enzyme catalyzes the phosphorylation of (R)-glycerate and may be involved in serine degradation and fructose metabolism. Decreased activity of the encoded enzyme may be associated with the disease D-glyceric aciduria. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jan 2009],	3	HBEBP2, HBEBP4, HBeAgBP4A	HGNC:24247	GLYCTK	ENSG00000168237	GLYCTK	132158	GLYCTK
KHK	ketohexokinase	Fructose Metabolism	This gene encodes ketohexokinase that catalyzes conversion of fructose to fructose-1-phosphate. The product of this gene is the first enzyme with a specialized pathway that catabolizes dietary fructose. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008],	2		HGNC:6315	KHK	ENSG00000138030	KHK	3795	KHK
SORD	sorbitol dehydrogenase	Fructose Metabolism	"Sorbitol dehydrogenase (SORD; EC 1.1.1.14) catalyzes the interconversion of polyols and their corresponding ketoses, and together with aldose reductase (ALDR1; MIM 103880), makes up the sorbitol pathway that is believed to play an important role in the development of diabetic complications (summarized by Carr and Markham, 1995 [PubMed 8535074]). The first reaction of the pathway (also called the polyol pathway) is the reduction of glucose to sorbitol by ALDR1 with NADPH as the cofactor. SORD then oxidizes the sorbitol to fructose using NAD(+) cofactor.[supplied by OMIM, Jul 2010],"	15	HEL-S-95n1, SORD	HGNC:11184	SORD	ENSG00000140263	SORD	6652	SORD
TKFC	triokinase and FMN cyclase	Fructose Metabolism	Catalyzes both the phosphorylation of dihydroxyacetone and the splitting of ribonucleoside diphosphate-X compounds among which FAD is the best substrate	11	DAK, NET45	HGNC:24552	TKFC	ENSG00000149476	TKFC	26007	TKFC
ALDOA	aldolase, fructose-bisphosphate A	Glycolysis	This gene encodes a member of the class I fructose-bisphosphate aldolase protein family. The encoded protein is a glycolytic enzyme that catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate. Three aldolase isozymes (A, B, and C), encoded by three different genes, are differentially expressed during development. Mutations in this gene have been associated with Glycogen Storage Disease XII, an autosomal recessive disorder associated with hemolytic anemia. Disruption of this gene also plays a role in the progression of multiple types of cancers. 	16	ALDA, GSD12, HEL-S-87p	HGNC:414	ALDOA	ENSG00000149925	ALDOA	226	ALDOA
ALDOC	aldolase, fructose-bisphosphate C	Glycolysis	This gene encodes a member of the class I fructose-biphosphate aldolase gene family. Expressed specifically in the hippocampus and Purkinje cells of the brain, the encoded protein is a glycolytic enzyme that catalyzes the reversible aldol cleavage of fructose-1,6-biphosphate and fructose 1-phosphate to dihydroxyacetone phosphate and either glyceraldehyde-3-phosphate or glyceraldehyde, respectively. [provided by RefSeq, Jul 2008],	17	ALDC	HGNC:418	ALDOC	ENSG00000109107	ALDOC	230	ALDOC
ENO1	enolase 1	Glycolysis	This gene encodes alpha-enolase, one of three enolase isoenzymes found in mammals. Each isoenzyme is a homodimer composed of 2 alpha, 2 gamma, or 2 beta subunits, and functions as a glycolytic enzyme. Alpha-enolase in addition, functions as a structural lens protein (tau-crystallin) in the monomeric form. Alternative splicing of this gene results in a shorter isoform that has been shown to bind to the c-myc promoter and function as a tumor suppressor. Several pseudogenes have been identified, including one on the long arm of chromosome 1. Alpha-enolase has also been identified as an autoantigen in Hashimoto encephalopathy. [provided by RefSeq, Jan 2011],	1	ENO1L1, HEL-S-17, MPB1, NNE, PPH	HGNC:3350	ENO1	ENSG00000074800	ENO1	2023	ENO1
ENO2	enolase 2	Glycolysis	This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme, a homodimer, is found in mature neurons and cells of neuronal origin. A switch from alpha enolase to gamma enolase occurs in neural tissue during development in rats and primates. [provided by RefSeq, Jul 2008],	12	HEL-S-279, NSE	HGNC:3353	ENO2	ENSG00000111674	ENO2	2026	ENO2
ENO3	enolase 3	Glycolysis	This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme is found in skeletal muscle cells in the adult where it may play a role in muscle development and regeneration. A switch from alpha enolase to beta enolase occurs in muscle tissue during development in rodents. Mutations in this gene have be associated glycogen storage disease. Alternatively spliced transcript variants encoding different isoforms have been described.[provided by RefSeq, Jul 2010],	17	GSD13, MSE	HGNC:3354	ENO3	ENSG00000108515	ENO3	2027	ENO3
FBP1	fructose-bisphosphatase 1	Glycolysis	Fructose-1,6-bisphosphatase 1, a gluconeogenesis regulatory enzyme, catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate and inorganic phosphate. Fructose-1,6-diphosphatase deficiency is associated with hypoglycemia and metabolic acidosis. [provided by RefSeq, Jul 2008],	9	FBP	HGNC:3606	FBP1	ENSG00000165140	FBP1	2203	FBP1
FBP2	fructose-bisphosphatase 2	Glycolysis	This gene encodes a gluconeogenesis regulatory enzyme which catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate and inorganic phosphate. [provided by RefSeq, Jul 2008],	9		HGNC:3607	FBP2	ENSG00000130957	FBP2	8789	FBP2
G6PC	glucose-6-phosphatase catalytic subunit	Glycolysis	Hydrolyzes glucose-6-phosphate to glucose in the endoplasmic reticulum. Forms with the glucose-6-phosphate transporter (SLC37A4/G6PT) the complex responsible for glucose production through glycogenolysis and gluconeogenesis. Hence, it is the key enzyme in homeostatic regulation of blood glucose levels	17	G6PC1, G6PT, G6Pase, GSD1, GSD1a	HGNC:4056	G6PC	ENSG00000131482	G6PC	2538	G6PC
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis	Independent of its glycolytic activity it is also involved in membrane trafficking in the early secretory pathway	12	G3PD, GAPD, HEL-S-162eP	HGNC:4141	GAPDH	ENSG00000111640	GAPDH	2597	GAPDH
GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	Glycolysis	May play an important role in regulating the switch between different pathways for energy production during spermiogenesis and in the spermatozoon. Required for sperm motility and male fertility (By similarity)	19	GAPD2, GAPDH-2, GAPDS, HEL-S-278, HSD-35	HGNC:24864	GAPDHS	ENSG00000105679	GAPDHS	26330	GAPDHS
GCK	glucokinase	Glycolysis	Catalyzes the initial step in utilization of glucose by the beta-cell and liver at physiological glucose concentration. Glucokinase has a high Km for glucose, and so it is effective only when glucose is abundant. The role of GCK is to provide G6P for the synthesis of glycogen. Pancreatic glucokinase plays an important role in modulating insulin secretion. Hepatic glucokinase helps to facilitate the uptake and conversion of glucose by acting as an insulin-sensitive determinant of hepatic glucose usage	7	FGQTL3, GK, GLK, HHF3, HK4, HKIV, HXKP, LGLK, MODY2	HGNC:4195	GCK	ENSG00000106633	GCK	2645	GCK
GPI	glucose-6-phosphate isomerase	Glycolysis	Besides it's role as a glycolytic enzyme, mammalian GPI can function as a tumor-secreted cytokine and an angiogenic factor (AMF) that stimulates endothelial cell motility. GPI is also a neurotrophic factor (Neuroleukin) for spinal and sensory neurons	19	AMF, GNPI, NLK, PGI, PHI, SA-36, SA36	HGNC:4458	GPI	ENSG00000105220	GPI	2821	GPI
HK1	hexokinase 1	Glycolysis	Hexokinases phosphorylate glucose to produce glucose-6-phosphate, the first step in most glucose metabolism pathways. This gene encodes a ubiquitous form of hexokinase which localizes to the outer membrane of mitochondria. Mutations in this gene have been associated with hemolytic anemia due to hexokinase deficiency. Alternative splicing of this gene results in several transcript variants which encode different isoforms, some of which are tissue-specific. [provided by RefSeq, Apr 2016],	10	HK-ta, HK1-tb, HK1-tc, HKD, HKI, HMSNR, HXK1, RP79, hexokinase, HK1	HGNC:4922	HK1	ENSG00000156515	HK1	3098	HK1
HK2	hexokinase 2	Glycolysis	Hexokinases phosphorylate glucose to produce glucose-6-phosphate, the first step in most glucose metabolism pathways. This gene encodes hexokinase 2, the predominant form found in skeletal muscle. It localizes to the outer membrane of mitochondria. Expression of this gene is insulin-responsive, and studies in rat suggest that it is involved in the increased rate of glycolysis seen in rapidly growing cancer cells. [provided by RefSeq, Apr 2009],	2	HKII, HXK2	HGNC:4923	HK2	ENSG00000159399	HK2	3099	HK2
HK3	hexokinase 3	Glycolysis	Hexokinases phosphorylate glucose to produce glucose-6-phosphate, the first step in most glucose metabolism pathways. This gene encodes hexokinase 3. Similar to hexokinases 1 and 2, this allosteric enzyme is inhibited by its product glucose-6-phosphate. [provided by RefSeq, Apr 2009],	5	HKIII, HXK3	HGNC:4925	HK3	ENSG00000160883	HK3	3101	HK3
HKDC1	hexokinase domain containing 1	Glycolysis	This gene encodes a member of the hexokinase protein family. The encoded protein is involved in glucose metabolism, and reduced expression may be associated with gestational diabetes mellitus. High expression of this gene may also be associated with poor prognosis in hepatocarcinoma. [provided by RefSeq, Sep 2016],	10		HGNC:23302	HKDC1	ENSG00000156510	HKDC1	80201	HKDC1
LDHA	lactate dehydrogenase A	Glycolysis	The protein encoded by this gene catalyzes the conversion of L-lactate and NAD to pyruvate and NADH in the final step of anaerobic glycolysis. The protein is found predominantly in muscle tissue and belongs to the lactate dehydrogenase family. Mutations in this gene have been linked to exertional myoglobinuria. Multiple transcript variants encoding different isoforms have been found for this gene. The human genome contains several non-transcribed pseudogenes of this gene. [provided by RefSeq, Sep 2008],	11	GSD11, HEL-S-133P, LDHM, PIG19	HGNC:6535	LDHA	ENSG00000134333	LDHA	3939	LDHA
LDHAL6B	lactate dehydrogenase A like 6B	Glycolysis	"catalytic activity:(S)-lactate + NAD(+) = pyruvate + NADHcaution:It is uncertain whether Met-1 or Met-50 is the initiatordevelopmental stage:Higher expression level in adult testis as compared to 6-week-old fetal testispathway:Fermentation; pyruvate fermentation to lactate; (S)-lactate from pyruvate: step 1/1similarity:Belongs to the LDH/MDH superfamily. LDH familytissue specificity:Testis specific"	15	LDH6B, LDHAL6, LDHL	HGNC:21481	LDHAL6B	ENSG00000171989	LDHAL6B	92483	LDHAL6B
LDHB	lactate dehydrogenase B	Glycolysis	This gene encodes the B subunit of lactate dehydrogenase enzyme, which catalyzes the interconversion of pyruvate and lactate with concomitant interconversion of NADH and NAD+ in a post-glycolysis process. Alternatively spliced transcript variants have been found for this gene. Recent studies have shown that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is localized in the peroxisomes. Mutations in this gene are associated with lactate dehydrogenase B deficiency. Pseudogenes have been identified on chromosomes X, 5 and 13. [provided by RefSeq, Feb 2016],	12	HEL-S-281, LDH-B, LDH-HD, TRG-5, LDHB	HGNC:6541	LDHB	ENSG00000111716	LDHB	3945	LDHB
LDHC	lactate dehydrogenase C	Glycolysis	" Lactate dehydrogenase C catalyzes the conversion of L-lactate and NAD to pyruvate and NADH in the final step of anaerobic glycolysis.  LDHC is testis-specific and belongs to the lactate dehydrogenase family.  Two transcript variants have been detected which differ in the 5&apos; untranslated region. [provided by RefSeq, Jul 2008],"	11	CT32, LDH3, LDHX	HGNC:6544	LDHC	ENSG00000166796	LDHC	3948	LDHC
PC	pyruvate carboxylase	Glycolysis	Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. Catalyzes in a tissue specific manner, the initial reactions of glucose (liver, kidney) and lipid (adipose tissue, liver, brain) synthesis from pyruvate	11	PCB	HGNC:8636	PC	ENSG00000173599	PC	5091	PC
PCK1	phosphoenolpyruvate carboxykinase 1	Glycolysis	Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle	20	PCKDC, PEPCK-C, PEPCK1, PEPCKC	HGNC:8724	PCK1	ENSG00000124253	PCK1	5105	PCK1
PFKL	phosphofructokinase, liver type	Glycolysis	This gene encodes the liver (L) subunit of an enzyme that catalyzes the conversion of D-fructose 6-phosphate to D-fructose 1,6-bisphosphate, which is a key step in glucose metabolism (glycolysis). This enzyme is a tetramer that may be composed of different subunits encoded by distinct genes in different tissues. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2014],	21	ATP-PFK, PFK-B, PFK-L	HGNC:8876	PFKL	ENSG00000141959	PFKL	5211	PFKL
PFKM	phosphofructokinase, muscle	Glycolysis	Three phosphofructokinase isozymes exist in humans: muscle, liver and platelet. These isozymes function as subunits of the mammalian tetramer phosphofructokinase, which catalyzes the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate. Tetramer composition varies depending on tissue type. This gene encodes the muscle-type isozyme. Mutations in this gene have been associated with glycogen storage disease type VII, also known as Tarui disease. Alternatively spliced transcript variants have been described.[provided by RefSeq, Nov 2009],	12	ATP-PFK, GSD7, PFK-1, PFK-A, PFK1, PFKA, PFKX, PPP1R122	HGNC:8877	PFKM	ENSG00000152556	PFKM	5213	PFKM
PFKP	phosphofructokinase, platelet	Glycolysis	This gene encodes a member of the phosphofructokinase A protein family. The encoded enzyme is the platelet-specific isoform of phosphofructokinase and plays a key role in glycolysis regulation. This gene may play a role in metabolic reprogramming in some cancers, including clear cell renal cell carcinomas, and cancer of the bladder, breast, and lung. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2016],	10	ATP-PFK, PFK-C, PFK-P, PFKF	HGNC:8878	PFKP	ENSG00000067057	PFKP	5214	PFKP
PGAM1	phosphoglycerate mutase 1	Glycolysis	Interconversion of 3- and 2-phosphoglycerate with 2,3- bisphosphoglycerate as the primer of the reaction. Can also catalyze the reaction of EC 5.4.2.4 (synthase) and EC 3.1.3.13 (phosphatase), but with a reduced activity	10	HEL-S-35, PGAM-B, PGAMA	HGNC:8888	PGAM1	ENSG00000171314	PGAM1	5223	PGAM1
PGAM2	phosphoglycerate mutase 2	Glycolysis	Interconversion of 3- and 2-phosphoglycerate with 2,3- bisphosphoglycerate as the primer of the reaction. Can also catalyze the reaction of EC 5.4.2.4 (synthase) and EC 3.1.3.13 (phosphatase), but with a reduced activity	7	GSD10, PGAM-M, PGAMM	HGNC:8889	PGAM2	ENSG00000164708	PGAM2	5224	PGAM2
PGAM4	phosphoglycerate mutase family member 4	Glycolysis	This intronless gene appears to have arisen from a retrotransposition event, yet it is thought to be an expressed, protein-coding gene. The encoded protein is a member of the phosphoglycerate mutase family, a set of enzymes that catalyze the transfer of a phosphate group from 3-phosphoglycerate to 2-phosphoglycerate. [provided by RefSeq, May 2010],	X	PGAM-B, PGAM1, PGAM3, dJ1000K24.1	HGNC:21731	PGAM4	ENSG00000226784	PGAM4	441531	PGAM4
PGK1	phosphoglycerate kinase 1	Glycolysis	In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein)	X	HEL-S-68p, MIG10, PGKA	HGNC:8896	PGK1	ENSG00000102144	PGK1	5230	PGK1
PGK2	phosphoglycerate kinase 2	Glycolysis	This gene is intronless, arose via retrotransposition of the phosphoglycerate kinase 1 gene, and is expressed specifically in the testis. Initially assumed to be a pseudogene, the encoded protein is actually a functional phosphoglycerate kinase that catalyzes the reversible conversion of 1,3-bisphosphoglycerate to 3-phosphoglycerate, during the Embden-Meyerhof-Parnas pathway of glycolysis, in the later stages of spermatogenesis.[provided by RefSeq, May 2010],	6	HEL-S-272, PGKB, PGKPS, dJ417L20.2	HGNC:8898	PGK2	ENSG00000170950	PGK2	5232	PGK2
PKLR	pyruvate kinase L/R	Glycolysis	The protein encoded by this gene is a pyruvate kinase that catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP, which is the rate-limiting step of glycolysis. Defects in this enzyme, due to gene mutations or genetic variations, are the common cause of chronic hereditary nonspherocytic hemolytic anemia (CNSHA or HNSHA). Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008],	1	PK1, PKL, PKRL, RPK	HGNC:9020	PKLR	ENSG00000143627	PKLR	5313	PKLR
PKM	pyruvate kinase M1/2	Glycolysis	This gene encodes a protein involved in glycolysis. The encoded protein is a pyruvate kinase that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate to ADP, generating ATP and pyruvate. This protein has been shown to interact with thyroid hormone and may mediate cellular metabolic effects induced by thyroid hormones. This protein has been found to bind Opa protein, a bacterial outer membrane protein involved in gonococcal adherence to and invasion of human cells, suggesting a role of this protein in bacterial pathogenesis. Several alternatively spliced transcript variants encoding a few distinct isoforms have been reported. [provided by RefSeq, May 2011],	15	CTHBP, HEL-S-30, OIP3, PK32, TCB, THBP1, PKM	HGNC:9021	PKM	ENSG00000067225	PKM	5315	PKM
SLC2A1	solute carrier family 2 member 1	Glycolysis	This gene encodes a major glucose transporter in the mammalian blood-brain barrier. The encoded protein is found primarily in the cell membrane and on the cell surface, where it can also function as a receptor for human T-cell leukemia virus (HTLV) I and II. Mutations in this gene have been found in a family with paroxysmal exertion-induced dyskinesia. [provided by RefSeq, Apr 2013],	1	CSE, DYT17, DYT18, DYT9, EIG12, GLUT, GLUT-1, GLUT1, GLUT1DS, HTLVR, PED, SDCHCN	HGNC:11005	SLC2A1	ENSG00000117394	SLC2A1	6513	SLC2A1
SLC2A2	solute carrier family 2 member 2	Glycolysis	This gene encodes an integral plasma membrane glycoprotein of the liver, islet beta cells, intestine, and kidney epithelium. The encoded protein mediates facilitated bidirectional glucose transport. Because of its low affinity for glucose, it has been suggested as a glucose sensor. Mutations in this gene are associated with susceptibility to diseases, including Fanconi-Bickel syndrome and noninsulin-dependent diabetes mellitus (NIDDM). Alternative splicing results in multiple transcript variants of this gene. [provided by RefSeq, Jul 2013],	3	GLUT2	HGNC:11006	SLC2A2	ENSG00000163581	SLC2A2	6514	SLC2A2
SLC2A3	solute carrier family 2 member 3	Glycolysis	function:Facilitative glucose transporter. Probably a neuronal glucose transportersimilarity:Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family. Glucose transporter subfamilytissue specificity:Highly expressed in brain. Expressed in many tissues	12	GLUT3	HGNC:11007	SLC2A3	ENSG00000059804	SLC2A3	6515	SLC2A3
SLC2A4	solute carrier family 2 member 4	Glycolysis	This gene is a member of the solute carrier family 2 (facilitated glucose transporter) family and encodes a protein that functions as an insulin-regulated facilitative glucose transporter. In the absence of insulin, this integral membrane protein is sequestered within the cells of muscle and adipose tissue. Within minutes of insulin stimulation, the protein moves to the cell surface and begins to transport glucose across the cell membrane. Mutations in this gene have been associated with noninsulin-dependent diabetes mellitus (NIDDM). [provided by RefSeq, Jul 2008],	17	GLUT4	HGNC:11009	SLC2A4	ENSG00000181856	SLC2A4	6517	SLC2A4
SLC2A5	solute carrier family 2 member 5	Glycolysis	The protein encoded by this gene is a fructose transporter responsible for fructose uptake by the small intestine. The encoded protein also is necessary for the increase in blood pressure due to high dietary fructose consumption. [provided by RefSeq, Jun 2016],	1	GLUT-5, GLUT5	HGNC:11010	SLC2A5	ENSG00000142583	SLC2A5	6518	SLC2A5
TPI1	triosephosphate isomerase 1	Glycolysis	This gene encodes an enzyme, consisting of two identical proteins, which catalyzes the isomerization of glyceraldehydes 3-phosphate (G3P) and dihydroxy-acetone phosphate (DHAP) in glycolysis and gluconeogenesis. Mutations in this gene are associated with triosephosphate isomerase deficiency. Pseudogenes have been identified on chromosomes 1, 4, 6 and 7. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2009],	12	HEL-S-49, TIM, TPI, TPID	HGNC:12009	TPI1	ENSG00000111669	TPI1	7167	TPI1
ALAS1	5'-aminolevulinate synthase 1	Heme Biosynthesis	Description: catalyzes the formation of 5-aminolevulinic acid from succinyl CoA and glycine Pathway: porphyrin biosynthesis,	3	ALAS, ALAS-H, ALAS3, ALASH, MIG4	HGNC:396	ALAS1	ENSG00000023330	ALAS1	211	ALAS1
ALAS2	5'-aminolevulinate synthase 2	Heme Biosynthesis	Description: catalyzes the formation of 5-aminolevulinic acid from succinyl CoA and glycine Pathway: porphyrin biosynthesis,	X	ALAS-E, ALASE, ANH1, ASB, SIDBA1, XLDPP, XLEPP, XLSA	HGNC:397	ALAS2	ENSG00000158578	ALAS2	212	ALAS2
CPOX	coproporphyrinogen oxidase	Heme Biosynthesis	The protein encoded by this gene is the sixth enzyme of the heme biosynthetic pathway. The encoded enzyme is soluble and found in the intermembrane space of mitochondria. This enzyme catalyzes the stepwise oxidative decarboxylation of coproporphyrinogen III to protoporphyrinogen IX, a precursor of heme. Defects in this gene are a cause of hereditary coproporphyria (HCP).[provided by RefSeq, Oct 2009],	3	COX, CPO, CPX, HCP	HGNC:2321	CPOX	ENSG00000080819	CPOX	1371	CPOX
